#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Tibo,@thsottiaux,2026-04-06T03:38:20.000Z,Codex is for wizards,85,21,478,18931,https://x.com/thsottiaux/status/2040997506927284654
310,Shalini Goyal,@goyalshaliniuk,2026-04-07T01:30:00.000Z,"The AI race in the last 5 years 

Do you agree ?",13,13,45,853,https://x.com/goyalshaliniuk/status/2041327599247307111
311,Hasan Toor,@hasantoxr,2026-04-07T01:18:46.000Z,"This is the Huge collection of “build it from scratch” tutorials in one place.

It’s the most starred repo on GitHub (483k ):

It’s called build-your-own-x and it’s a curated list of step-by-step guides written by engineers who actually built these systems, so you can recreate",1,3,10,1601,https://x.com/hasantoxr/status/2041324774916514134
312,Hasan Toor,@hasantoxr,2026-04-07T01:18:49.000Z,Link to the GutHub repo:,,,1,792,https://x.com/hasantoxr/status/2041324786786402520
313,Hasan Toor,@hasantoxr,2026-04-07T00:54:24.000Z,"BREAKING : Topview just dropped Seedance 2.0 and the quality is insane.

365 days of unlimited use for Business Annual accounts.
Real human faces. No weird distortions. No uncanny valley.
Cinematic shots that look like they cost thousands to produce.

AI video has been",1,,2,1391,https://x.com/hasantoxr/status/2041318641694879975
314,Hasan Toor,@hasantoxr,2026-04-06T14:36:04.000Z,"Gamma just made hiring a designer for every presentation completely unnecessary.

It's called Gamma Imagine and it turns any idea into a professional visual in seconds.

No design skills. No tool switching. No templates.",24,87,205,8151,https://x.com/hasantoxr/status/2041163030491517133
315,Aakash Gupta,@aakashgupta,2026-04-07T00:49:02.000Z,"The CEO of Postman just described what the best PM job in the world looks like right now.

Postman has 30M+ developers on its platform. Abhinav built the tool that made API collaboration mainstream. So when he says ""PMs are building APIs and prototyping in Claude instead of",5,3,28,9758,https://x.com/aakashgupta/status/2041317289770049950
316,Aakash Gupta,@aakashgupta,2026-04-06T22:36:15.000Z,"Anthropic just passed OpenAI in revenue run rate. OpenAI is at roughly $25B. Anthropic just crossed $30B. Sixteen months ago Anthropic was doing $1B.

You could add up the annual revenue of Snowflake, Datadog, Cloudflare, MongoDB, and HubSpot and you'd still be $15B short of",42,104,993,363410,https://x.com/aakashgupta/status/2041283873108332878
317,Aakash Gupta,@aakashgupta,2026-04-07T00:30:59.000Z,"To get all my takes without an algorithmic filter, subscribe to my newsletter:",,,1,2772,https://x.com/aakashgupta/status/2041312745904369852
318,Aakash Gupta,@aakashgupta,2026-04-07T00:25:03.000Z,"The last time France pulled its gold out of New York, the entire global monetary system collapsed within six years.

In 1963, De Gaulle launched a secret operation called ""Vide-Gousset."" 44 boat trips. 129 flights. 3,313 tonnes of gold repatriated from the Federal Reserve and the",6,16,101,18223,https://x.com/aakashgupta/status/2041311254292336810
319,Aakash Gupta,@aakashgupta,2026-04-06T06:34:02.000Z,"Three generations. That's all it takes for humanity to forget anything. Japan figured this out 600 years ago. Carved warnings into stone. One village obeyed, survived the 2011 tsunami. Towns that ignored their stones lost 20,000 people.

The same pattern runs everywhere you look.",5,69,297,39202,https://x.com/aakashgupta/status/2041041723271586036
320,Aakash Gupta,@aakashgupta,2026-04-07T00:21:01.000Z,"To get all my takes without an algorithmic filter, subscribe to my newsletter:",,,1,1284,https://x.com/aakashgupta/status/2041310241309286633
321,Hamza Khalid,@Whizz_ai,2026-04-06T05:56:22.000Z,"BREAKING: Flova just opened access to Seedance 2.0, the AI video model that literally spooked Hollywood.

Try it here → 
http://
flova.ai/?refCode=KH75K
XZL
…

Flova gives you unlimited access to the Nano banana and Seedance 2.0

Here is why this is wild:
→ Cinematic AI videos with native",6,12,33,3564,https://x.com/Whizz_ai/status/2041032243335078133
322,Min Choi,@minchoi,2026-04-06T15:03:34.000Z,"Karpathy's Second Brain idea just killed RAG.

LLMs can now turn papers, repos, and notes into a living wiki that keeps getting smarter.

And people are already doing wild use cases with it.

10 examples:",45,96,713,105718,https://x.com/minchoi/status/2041169951457767618
323,Min Choi,@minchoi,2026-04-05T14:55:50.000Z,"Netflix just dropped VOID.

This AI removes objects from video...

And even corrects the physics after objects/people are removed.

Demo in commets",97,195,2100,2217656,https://x.com/minchoi/status/2040805620677304558
324,Kol Tregaskes,@koltregaskes,2026-04-06T23:28:02.000Z,Google Jules 2 coming.,1,,13,943,https://x.com/koltregaskes/status/2041296906698276933
325,Kol Tregaskes,@koltregaskes,2026-04-06T23:28:05.000Z,Post from Kath.,,,1,367,https://x.com/koltregaskes/status/2041296919579021622
326,Joe Gebbia,@jgebbia,2026-04-06T21:14:51.000Z,Solving your own problem is a tried and true formula underneath the origin of many successful companies / ideas.,3,10,119,15349,https://x.com/jgebbia/status/2041263391218516404
327,1LittleCoder,@1littlecoder,2026-04-03T16:48:27.000Z,,4,2,10,1658,https://x.com/1littlecoder/status/2040109181848662467
328,Brady Long,@thisguyknowsai,2026-04-06T09:07:23.000Z,"BREAKING: ChatGPT can now edit and create videos for free.

You don’t need fancy software anymore.

Here’s how to do it (in 3 simple steps)",3,5,20,2782,https://x.com/thisguyknowsai/status/2041080314739798095
329,Chubby,@kimmonismus,2026-04-06T16:04:29.000Z,"1/ Engineered a client intake and project tracking system utilizing the new Architect.

This is the outcome! For a solo consultant, managing the gap between a ""yes"" and the first kickoff meeting is usually a manual mess. I wanted to see if I could build a professional solution",8,6,70,11179,https://x.com/kimmonismus/status/2041185281597181986
330,Kol Tregaskes,@koltregaskes,2026-04-06T22:01:18.000Z,"Seedance 2.0 seems to have disappeared from Dreamina, but  I got the following outputs before it did. All I did was give it the Midjourney v8 image reference and no prompt.

1/",3,,13,507,https://x.com/koltregaskes/status/2041275079829696854
331,Kol Tregaskes,@koltregaskes,2026-04-06T22:02:07.000Z,4/,1,,2,221,https://x.com/koltregaskes/status/2041275282624299066
332,Kol Tregaskes,@koltregaskes,2026-04-06T22:02:10.000Z,No more Seedance 2.0??,,,3,246,https://x.com/koltregaskes/status/2041275298331975692
333,Somi AI,@somi_ai,2026-04-06T22:00:07.000Z,"Alibaba open sourced page-agent.js, a browser automation agent that lives inside the webpage itself. One script tag, no Selenium, no Puppeteer, no Chrome extensions. It reads the DOM as text, connects to any LLM, and executes natural language commands directly in the page. 12K",1,,,55,https://x.com/somi_ai/status/2041274779836244352
334,Somi AI,@somi_ai,2026-04-06T22:00:08.000Z,The practical applications go beyond testing. Drop this into a SaaS product and you've got an AI copilot in a few lines of code. Point it at a legacy ERP system and complex multi-click workflows become single sentence commands. Accessibility via natural language becomes almost,1,,,21,https://x.com/somi_ai/status/2041274786664657126
335,Somi AI,@somi_ai,2026-04-06T22:00:09.000Z,"Built on browser-use internals but strips away the setup complexity. MIT licensed.

Repo: 
http://
github.com/alibaba/page-a
gent
…

How does DOM-based element understanding compare to screenshot-based approaches for your use cases?",,,,14,https://x.com/somi_ai/status/2041274789143490763
336,Nav Toor,@heynavtoor,2026-04-06T15:37:11.000Z,"BREAKING: Someone built a money printer… you paste a website and it just starts bringing in customers in your sleep.

It’s called Money Printer.

It reads your site, figures out who should be buying, finds those companies, and reaches out to them automatically.

I tried it on",63,170,2000,260784,https://x.com/heynavtoor/status/2041178413386625188
337,Min Choi,@minchoi,2026-04-06T21:38:35.000Z,"Someone just built Karpathy's second brain, but for code.

graphify turns files, PDFs, and screenshots into a knowledge graph you can query.

100% Open source

Code in comments",12,14,193,26783,https://x.com/minchoi/status/2041269362783408228
338,Min Choi,@minchoi,2026-04-06T21:38:36.000Z,Code repo,,,11,2822,https://x.com/minchoi/status/2041269365585187278
339,Chubby,@kimmonismus,2026-04-06T21:31:03.000Z,"Very exciting breaktrough: An FDA-designated AI tool called Vox can analyze just five seconds of a patient’s voice to detect signs of worsening heart failure, using patterns linked to fluid buildup that humans cannot hear.

Trained on more than 3 million voice samples and",9,29,244,20438,https://x.com/kimmonismus/status/2041267465355919603
340,Chubby,@kimmonismus,2026-04-06T21:31:06.000Z,Source:,1,1,13,3221,https://x.com/kimmonismus/status/2041267477485896168
341,Chubby,@kimmonismus,2026-04-06T21:31:09.000Z,,,1,14,2933,https://x.com/kimmonismus/status/2041267489229926883
342,Chubby,@kimmonismus,2026-04-06T21:13:19.000Z,"Google had the foresight to develop TPUs back in 2012. Today, they have by far the most compute. In the long term, Google is in one of the best starting positions: a solid revenue and product base, compute, and above all: distribution.",9,49,426,29635,https://x.com/kimmonismus/status/2041263004650553645
343,Chubby,@kimmonismus,2026-04-06T15:03:17.000Z,"OpenAI is preparing ready to launch their new and next generation of models.

They are about to revolutionizing science & economy. ""A very significant step forward"" compared to their current models.

Imho this is preparing people for the launch, very very soon, maybe even this",63,64,772,110736,https://x.com/kimmonismus/status/2041169883501863212
344,Aakash Gupta,@aakashgupta,2026-04-06T20:59:02.000Z,"The ""steroid Olympics"" launching next month in Vegas is actually a telehealth company wearing a sports league as a costume.

Enhanced Games is going public via SPAC at a $1.2B valuation with zero revenue and fewer than 50 athletes. The math says roughly $31M per confirmed",2,3,26,10389,https://x.com/aakashgupta/status/2041259410207719651
345,1LittleCoder,@1littlecoder,2026-04-06T20:53:24.000Z,"Charles Goodhart is a British economist and former Bank of England advisor who, in 1975, articulated what became known as Goodhart's Law while critiquing the UK's monetary policy targets.

When metrics are being chased, Goodhart's Law kicks in: any measure that becomes a target",,1,4,1432,https://x.com/1littlecoder/status/2041257989689192535
346,Mujeeb Ahmed,@hey_mujeebahmed,2026-04-06T20:47:34.000Z,"This is the shift tbh

Most AI tools still need you to sit there, prompt, tweak, manage…

This is more like “tell it once and it keeps running”
which is way closer to what people actually want",5,3,9,5742,https://x.com/hey_mujeebahmed/status/2041256521435435260
347,GREG ISENBERG,@gregisenberg,2026-04-06T19:05:53.000Z,"how to turn iMessage into an AI executive assistant 

1. give lindy your phone number and google account. two steps. that's the entire setup.

2. wake up to a daily brief. your meetings, the weather, 63 emails triaged overnight, replies already drafted. you barely open gmail",59,63,301,64648,https://x.com/gregisenberg/status/2041230933005639829
348,Chubby,@kimmonismus,2026-04-06T20:42:12.000Z,"4/ On a planning puzzle, the hybrid system hit 95% accuracy vs. 34% for standard models. Training took 34 minutes instead of 36 hours. Energy use dropped to 1% during training. It didn't just use less power, it got dramatically smarter.",1,3,38,4204,https://x.com/kimmonismus/status/2041255170680803575
349,Chubby,@kimmonismus,2026-04-06T20:42:14.000Z,"5/ If neuro-symbolic AI scales beyond robotics into language models and search, we could see a future where powerful AI no longer requires a power plant behind it. The paper drops in May at ICRA Vienna. The efficient AI era might be closer than we think.",2,3,44,4193,https://x.com/kimmonismus/status/2041255182399643912
350,Chubby,@kimmonismus,2026-04-06T20:42:17.000Z,6/,1,3,39,4112,https://x.com/kimmonismus/status/2041255194181427403
351,Aakash Gupta,@aakashgupta,2026-04-06T07:26:02.000Z,"Peter Steinberger ships so fast he makes the Claude Code team jealous.

And if he's outshipping Anthropic, the fastest AI company on the planet, what does that say about everyone else?

Anthropic pushes 60 to 100 internal releases per day and built Cowork in 10 days. Microsoft",14,19,164,29735,https://x.com/aakashgupta/status/2041054812150935995
352,Shubham Saboo,@Saboo_Shubham_,2026-04-06T20:34:02.000Z,Pretty cool feature. My agents like it :),,,3,517,https://x.com/Saboo_Shubham_/status/2041253118164488486
353,Kol Tregaskes,@koltregaskes,2026-04-06T20:31:03.000Z,"Whether I have or have not got GPT Image v2, I couldn't tell you, but out of interest, while I'm building a template anyway, I ran the following prompts in:

1. GPT-Image v1.5 (or v2?)
2. Nano Banana Pro
3. Midjourney v8 (no personalisation)
4. Grok Imagine
5. Luma Uni-1
6.",2,2,13,1099,https://x.com/koltregaskes/status/2041252368042672340
354,Kol Tregaskes,@koltregaskes,2026-04-06T20:31:28.000Z,"6. Recraft v4.

Prompt:

29-year-old woman standing in a strict 8-panel character turnaround sheet, centered technical layout, pure white studio background, photoreal character design sheet, modern sci-fi operative style, clean production mood, realistic fabric, subtle worn",1,,2,313,https://x.com/koltregaskes/status/2041252469863559310
355,Kol Tregaskes,@koltregaskes,2026-04-06T20:31:31.000Z,"Guide to Prompting each Image Generator

GPT Image 1.5
- A professional creative-brief style is usually the safest approach. The strongest format is a structured paragraph or short set of sections covering the subject, composition, requirements, and constraints. Direct and",,,1,353,https://x.com/koltregaskes/status/2041252482333151524
356,Aakash Gupta,@aakashgupta,2026-04-06T20:26:03.000Z,"Claude Code's own front-end design skill has zero MCPs, zero APIs, zero new code.

It is just a prompt.

A really good prompt that tells Claude the aesthetics to follow, the patterns to avoid, the rules for layout and spacing. No new capabilities. Just a well-written instruction",2,3,45,7979,https://x.com/aakashgupta/status/2041251109147423016
357,Chubby,@kimmonismus,2026-04-06T19:18:40.000Z,"Quick reminder that Sonnet 4.8 and Opus 4.7 were already tested internally, as seen with the large Claude Code leak.

The release should therefore be imminent.",33,31,798,38800,https://x.com/kimmonismus/status/2041234151798440181
358,Kol Tregaskes,@koltregaskes,2026-04-06T20:17:12.000Z,Maybe.,,,1,335,https://x.com/koltregaskes/status/2041248880512184828
359,Hasan Toor,@hasantoxr,2026-04-06T20:15:11.000Z,"MIRIX shipped the memory layer every AI agent was missing.

6 specialized agents (Episodic, Semantic, Procedural, Knowledge, Resource, Core) working together to remember everything you do on screen.

Runs fully local. Privacy-first. 3.5K stars in days.

100% Open Source.",5,7,20,2616,https://x.com/hasantoxr/status/2041248371902660754
360,Hasan Toor,@hasantoxr,2026-04-06T20:15:13.000Z,Link:,,,,1027,https://x.com/hasantoxr/status/2041248383906800059
361,Alejandro Martinez | IA,@copyelpadrino,2026-04-06T20:11:02.000Z,"Cancelé Disney+.
Cancelé HBO Max.
Cancelé Apple TV+.

Cero pagos de 14,99 $ al mes.

ChatGPT convirtió mi portátil en un centro de streaming 100 % gratuito.

Aquí están los 8 prompts que usé para crear el sistema:",4,16,57,14663,https://x.com/copyelpadrino/status/2041247329601073621
362,Alejandro Martinez | IA,@copyelpadrino,2026-04-06T20:11:07.000Z,"7. Optimizador de calidad de streaming
Prompt:
“Analiza las opciones de streaming gratuito que uso y explica cómo mejorar la calidad de imagen y sonido (resolución, buffering, subtítulos), utilizando solo configuraciones del navegador y del sistema.”",1,,,818,https://x.com/copyelpadrino/status/2041247348248948973
363,Alejandro Martinez | IA,@copyelpadrino,2026-04-06T20:11:07.000Z,"8. Gestor de tiempo de consumo
Prompt:
“Ayúdame a crear reglas simples para consumir películas y series gratis sin perder demasiado tiempo. Define límites diarios, recomienda contenido corto y organiza sesiones de visualización eficientes.”",1,,1,740,https://x.com/copyelpadrino/status/2041247350476222556
